"No.","Time","Source","Destination","Protocol","Length","Info"
"1","23:23:36.817024","host","1.12.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"2","23:23:36.817190","1.12.0","host","USB","60","GET DESCRIPTOR Response CONFIGURATION"
"3","23:23:36.817190","1.12.0","host","USB","28","GET DESCRIPTOR status"
"4","23:23:36.817195","host","1.12.0","USB","36","SET CONFIGURATION Request"
"5","23:23:36.817765","1.12.0","host","USB","28","SET CONFIGURATION status"
"6","23:23:36.817781","host","1.12.0","USB","36","GET DESCRIPTOR Request DEVICE"
"7","23:23:36.817992","1.12.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"8","23:23:36.818009","1.12.0","host","USB","28","GET DESCRIPTOR status"
"9","23:23:36.818032","host","1.12.0","USB","36","GET DESCRIPTOR Request STRING"
"10","23:23:36.818173","1.12.0","host","USB","44","GET DESCRIPTOR Response STRING"
"11","23:23:36.818174","1.12.0","host","USB","28","GET DESCRIPTOR status"
"12","23:23:36.818184","host","1.12.0","USB","36","URB_CONTROL in"
"13","23:23:36.818378","1.12.0","host","USB","113","URB_CONTROL in"
"14","23:23:36.818396","1.12.0","host","USB","28","URB_CONTROL status"
"15","23:23:37.718417","host","1.12.1","USB","29","URB_BULK out"
"16","23:23:37.876058","1.12.2","host","USB","29","URB_BULK in"
"17","23:23:37.894313","host","1.12.1","USB","30","URB_BULK out"
"18","23:23:38.040118","1.12.2","host","USB","45","URB_BULK in"
"19","23:23:38.113792","host","1.12.1","USB","29","URB_BULK out"
"20","23:23:38.220255","1.12.2","host","USB","29","URB_BULK in"
"21","23:23:38.276849","host","1.12.1","USB","32","URB_BULK out"
"22","23:23:38.368105","1.12.2","host","USB","39","URB_BULK in"
"23","23:23:38.376786","host","1.12.1","USB","30","URB_BULK out"
"24","23:23:38.532109","1.12.2","host","USB","39","URB_BULK in"
"25","23:23:38.565400","host","1.12.1","USB","30","URB_BULK out"
"26","23:23:38.696127","1.12.2","host","USB","39","URB_BULK in"
"27","23:23:38.790756","host","1.12.1","USB","29","URB_BULK out"
"28","23:23:38.942023","1.12.2","host","USB","29","URB_BULK in"
"29","23:23:39.279488","host","1.12.1","USB","29","URB_BULK out"
"30","23:23:39.434034","1.12.2","host","USB","29","URB_BULK in"
"31","23:23:39.770883","host","1.12.1","USB","29","URB_BULK out"
"32","23:23:39.926027","1.12.2","host","USB","29","URB_BULK in"
"33","23:23:40.286349","host","1.12.1","USB","29","URB_BULK out"
"34","23:23:40.418016","1.12.2","host","USB","29","URB_BULK in"
"35","23:23:40.967217","host","1.12.1","USB","29","URB_BULK out"
"36","23:23:41.074031","1.12.2","host","USB","29","URB_BULK in"
"37","23:23:41.468257","host","1.12.1","USB","29","URB_BULK out"
"38","23:23:41.566041","1.12.2","host","USB","29","URB_BULK in"
"39","23:23:42.998906","host","1.12.1","USB","29","URB_BULK out"
"40","23:23:43.124025","1.12.2","host","USB","29","URB_BULK in"
"41","23:23:43.164626","host","1.12.1","USB","29","URB_BULK out"
"42","23:23:43.288048","1.12.2","host","USB","29","URB_BULK in"
"43","23:23:43.671279","host","1.12.1","USB","29","URB_BULK out"
"44","23:23:43.780058","1.12.2","host","USB","29","URB_BULK in"
"45","23:23:44.193203","host","1.12.1","USB","29","URB_BULK out"
"46","23:23:44.354048","1.12.2","host","USB","29","URB_BULK in"
